"sep=	"
Shimmer_952D_TimestampSync_Unix_CAL	Shimmer_952D_Accel_LN_X_CAL	Shimmer_952D_Accel_LN_Y_CAL	Shimmer_952D_Accel_LN_Z_CAL	Shimmer_952D_Accel_WR_X_CAL	Shimmer_952D_Accel_WR_Y_CAL	Shimmer_952D_Accel_WR_Z_CAL	Shimmer_952D_Gyro_X_CAL	Shimmer_952D_Gyro_Y_CAL	Shimmer_952D_Gyro_Z_CAL	Shimmer_952D_Mag_X_CAL	Shimmer_952D_Mag_Y_CAL	Shimmer_952D_Mag_Z_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	deg/s	deg/s	deg/s	local_flux	local_flux	local_flux	
1.7375801972591697E12	-0.7746213330474181	10.566265060240964	0.3536995698020559	-0.8173009832238364	10.47870425914817	0.13179281015255362	-13.911493709917272	10.601292032466457	-5.481563158349328	-0.005997001499250375	-1.1274362818590704	-0.06746626686656672	
1.737580197264166E12	-0.6419839943716472	10.72289156626506	0.3429777504177293	-0.8173009832238364	10.47870425914817	0.13179281015255362	-14.011501059252797	10.568162994864998	-6.200583201825846	-0.004497751124437781	-1.1244377811094453	-0.06746626686656672	
1.7375801972691626E12	-0.4960949688163714	10.771084337349398	0.21190652019135436	-0.5571785812283025	10.752249550089982	0.05869811453290746	-13.327468679001909	9.392082160013251	-7.2225042284461916	-0.004497751124437781	-1.1244377811094453	-0.06746626686656672	
1.7375801972741592E12	-0.18058435120343386	10.819277108433736	-0.013854036283118676	-0.5571785812283025	10.752249550089982	0.05869811453290746	-12.044456403817911	7.205565678317044	-8.41806559064378	-0.010494752623688156	-1.1514242878560719	-0.06596701649175413	
1.7375801972791555E12	-0.058066482508375664	10.927710843373495	-0.21744813470460184	-0.16948503231314982	10.874625074985001	-0.3883349894233392	-9.99803306363942	1.921484180884545	-10.916448613086876	-0.010494752623688156	-1.1514242878560719	-0.06596701649175413	
1.737580197284152E12	0.12384303738300868	11.012048192771084	-0.33611096721653133	-0.16948503231314982	10.874625074985001	-0.3883349894233392	-7.367162666869394	-3.379161835348683	-13.666581705097338	-0.0014992503748125937	-1.1409295352323838	-0.06596701649175413	
1.7375801972891484E12	0.26949112317683893	11.012048192771084	-0.44308822129835207	0.1739095506790309	11.07378524295141	-0.698941737184803	-3.8773526203161235	-7.901275467947656	-16.552639959199297	-0.0014992503748125937	-1.1409295352323838	-0.06596701649175413	
1.737580197294145E12	0.3914066424682833	11.19277108433735	-0.5864473793584497	0.1739095506790309	11.07378524295141	-0.698941737184803	-0.6096164272774659	-12.274308431340069	-20.20221638404514	-0.005997001499250375	-1.1349325337331333	-0.06896551724137931	
1.7375801972991416E12	0.41574155837428306	11.180722891566266	-0.6103004157415584	0.41785226057837466	11.186562687462507	-0.8868393568633053	0.8035355127488959	-13.483518303793273	-22.160595685303065	-0.0029985007496251873	-1.1484257871064467	-0.06746626686656672	
1.737580197304138E12	0.4395945947573917	11.10843373493976	-0.5859654998355586	0.41785226057837466	11.186562687462507	-0.8868393568633053	-0.5116576633812634	-15.305615371873445	-23.872518501077334	-0.0029985007496251873	-1.1484257871064467	-0.06746626686656672	
1.7375801973091345E12	0.46308622149833206	11.120481927710843	-0.5254896197127276	0.4506946552257807	11.155368926214756	-0.7968574726054333	-3.0448814663995996	-17.22709955275799	-24.761470511648024	0.005997001499250375	-1.1514242878560719	-0.07646176911544228	
1.737580197314131E12	0.4862164385971041	11.168674698795181	-0.4288727753730651	0.4506946552257807	11.155368926214756	-0.7968574726054333	-5.821658311201707	-18.734470763624316	-25.797415434193756	0.005997001499250375	-1.1514242878560719	-0.07646176911544228	
1.7375801973191274E12	0.46332716125977763	11.3855421686747	-0.5495835958572818	0.5126609372147792	11.208158368326334	-0.6619152210160999	-6.36256536855987	-19.214841808845453	-26.836878151669975	-0.010494752623688156	-1.1469265367316341	-0.06146926536731634	
