"sep=	"
Shimmer_B5B6_TimestampSync_Unix_CAL	Shimmer_B5B6_Accel_LN_X_CAL	Shimmer_B5B6_Accel_LN_Y_CAL	Shimmer_B5B6_Accel_LN_Z_CAL	Shimmer_B5B6_Accel_WR_X_CAL	Shimmer_B5B6_Accel_WR_Y_CAL	Shimmer_B5B6_Accel_WR_Z_CAL	Shimmer_B5B6_Battery_CAL	Shimmer_B5B6_Ext_Exp_A6_CAL	Shimmer_B5B6_Gyro_X_CAL	Shimmer_B5B6_Gyro_Y_CAL	Shimmer_B5B6_Gyro_Z_CAL	Shimmer_B5B6_Mag_X_CAL	Shimmer_B5B6_Mag_Y_CAL	Shimmer_B5B6_Mag_Z_CAL	Shimmer_B5B6_Pressure_BMP280_CAL	Shimmer_B5B6_Temperature_BMP280_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	mV	mV	deg/s	deg/s	deg/s	local_flux	local_flux	local_flux	kPa	Degrees Celsius	
1.7375815574392905E12	-9.719512195121952	0.6867469879518072	-1.1566265060240966	-0.7707959305804907	-9.646918013165768	-1.1274685816876122	4123.076923076923	1895.970695970696	-0.030534351145038167	2.748091603053435	-1.4961832061068703	-0.2638680659670165	-0.2098950524737631	-0.27586206896551724	100.53188676310056	35.836387797357744	
1.737581557444269E12	-9.719512195121952	0.6987951807228916	-1.1325301204819278	-0.7899461400359066	-9.632555356074207	-1.1346499102333931	4111.355311355311	1931.135531135531	-0.3053435114503817	2.595419847328244	-1.8931297709923662	-0.2698650674662669	-0.2338830584707646	-0.2848575712143928	100.53188676310056	35.836387797357744	
1.7375815574492473E12	-9.707317073170731	0.746987951807229	-1.1325301204819278	-0.7779772591262717	-9.591861160981448	-1.1154997007779772	4104.029304029304	1939.194139194139	-0.564885496183206	2.4122137404580153	-1.6335877862595418	-0.2698650674662669	-0.2338830584707646	-0.2848575712143928	100.53714540053753	35.836387797357744	
1.7375815574542258E12	-9.682926829268293	0.7590361445783133	-1.144578313253012	-0.7803710353081986	-9.548773189706763	-1.1226810293237581	4115.750915750916	1955.311355311355	-0.9465648854961831	2.183206106870229	-1.66412213740458	-0.2653673163418291	-0.2083958020989505	-0.28785607196401797	100.53714540053753	35.836387797357744	
1.7375815574592043E12	-9.670731707317074	0.7710843373493976	-1.1325301204819278	-0.8019150209455416	-9.555954518252543	-1.1394374625972472	4130.40293040293	1786.080586080586	-1.2366412213740459	1.9083969465648853	-1.6335877862595418	-0.2653673163418291	-0.2083958020989505	-0.28785607196401797	100.53714540053753	35.836387797357744	
1.7375815574641826E12	-9.646341463414634	0.7710843373493976	-1.1325301204819278	-0.7971274685816876	-9.563135846798325	-1.1154997007779772	4105.494505494506	1879.8534798534797	-1.2519083969465647	1.816793893129771	-1.9541984732824427	-0.26686656671664166	-0.22188905547226387	-0.280359820089955	100.52925744795154	35.836387797357744	
1.7375815574691611E12	-9.634146341463415	0.7590361445783133	-1.1204819277108435	-0.7660083782166367	-9.522441651705565	-1.1298623578695393	4105.494505494506	1918.6813186813185	-1.66412213740458	1.450381679389313	-1.8625954198473282	-0.26686656671664166	-0.22188905547226387	-0.280359820089955	100.52925744795154	35.836387797357744	
1.7375815574741396E12	-9.646341463414634	0.7349397590361446	-1.1325301204819278	-0.7755834829443446	-9.52722920406942	-1.1394374625972472	4121.611721611721	1952.3809523809523	-1.3587786259541985	1.4351145038167938	-2.2900763358778624	-0.2788605697151424	-0.22038980509745126	-0.2833583208395802	100.52925744795154	35.836387797357744	
1.737581557479118E12	-9.609756097560975	0.7228915662650602	-1.1566265060240966	-0.7564332734889287	-9.481747456612807	-1.151406343506882	4124.542124542124	1972.8937728937728	-1.1755725190839694	0.8854961832061068	-2.16793893129771	-0.2788605697151424	-0.22038980509745126	-0.2833583208395802	100.53714540053753	35.836387797357744	
1.7375815574840964E12	-9.609756097560975	0.710843373493976	-1.1686746987951808	-0.7396768402154399	-9.51047277079593	-1.168162776780371	4112.820512820513	1968.4981684981683	-1.4961832061068703	0.7175572519083969	-1.9389312977099236	-0.26686656671664166	-0.2128935532233883	-0.2788605697151424	100.53714540053753	35.836387797357744	
1.737581557489075E12	-9.621951219512196	0.710843373493976	-1.1566265060240966	-0.7253141831238779	-9.543985637342908	-1.1370436864153202	4134.798534798534	1794.139194139194	-1.8778625954198473	0.3511450381679389	-2.0763358778625953	-0.26686656671664166	-0.2128935532233883	-0.2788605697151424	100.53714540053753	35.836387797357744	
1.7375815574940532E12	-9.670731707317074	0.7228915662650602	-1.1325301204819278	-0.7660083782166367	-9.589467384799521	-1.1394374625972472	4124.542124542124	1906.227106227106	-2.381679389312977	0.366412213740458	-2.0	-0.2623688155922039	-0.22038980509745126	-0.2833583208395802	100.53451608062923	35.836387797357744	
1.7375815574990317E12	-9.670731707317074	0.746987951807229	-1.108433734939759	-0.7947336923997605	-9.555954518252543	-1.132256134051466	4130.40293040293	1765.5677655677655	-2.854961832061069	0.42748091603053434	-2.16793893129771	-0.2623688155922039	-0.22038980509745126	-0.2833583208395802	100.53451608062923	35.836387797357744	
1.7375815575040103E12	-9.682926829268293	0.783132530120482	-1.0963855421686748	-0.7947336923997605	-9.563135846798325	-1.1059245960502693	4127.472527472527	1700.3663003663003	-3.068702290076336	0.015267175572519083	-1.9389312977099236	-0.26836581709145424	-0.2098950524737631	-0.2773613193403298	100.53451608062923	35.836387797357744	
1.7375815575089885E12	-9.695121951219512	0.783132530120482	-1.108433734939759	-0.8378216636744464	-9.618192698982645	-1.1059245960502693	4126.007326007326	1668.8644688644688	-3.0534351145038165	0.13740458015267176	-2.045801526717557	-0.26836581709145424	-0.2098950524737631	-0.2773613193403298	100.53188676310056	35.836387797357744	
1.737581557513967E12	-9.682926829268293	0.783132530120482	-1.0963855421686748	-0.8090963494913226	-9.591861160981448	-1.1178934769599043	4126.007326007326	1655.6776556776556	-3.16030534351145	-0.32061068702290074	-2.045801526717557	-0.2653673163418291	-0.2128935532233883	-0.280359820089955	100.53188676310056	35.836387797357744	
